,time,open,high,low,close,tick_volume,spread,real_volume
277,1673279880,1.21701,1.21718,1.21668,1.21676,183,5,0
278,1673279940,1.21675,1.21692,1.21662,1.21682,141,5,0
279,1673280000,1.21682,1.21735,1.21672,1.21685,189,5,0
280,1673280060,1.21686,1.21703,1.21666,1.2168,156,5,0
281,1673280120,1.21677,1.21732,1.21672,1.21732,117,5,0
282,1673280180,1.21727,1.21768,1.21692,1.21718,197,5,0
283,1673280240,1.21717,1.21719,1.21688,1.21713,153,5,0
284,1673280300,1.21711,1.21736,1.21694,1.21728,147,5,0
285,1673280360,1.21729,1.21741,1.21719,1.21741,152,5,0
286,1673280420,1.2174,1.21763,1.21712,1.21713,117,4,0
287,1673280480,1.21712,1.21714,1.21674,1.21695,168,5,0
288,1673280540,1.21695,1.21721,1.2168700000000001,1.21719,115,5,0
289,1673280600,1.21719,1.21761,1.21719,1.21735,107,5,0
290,1673280660,1.21734,1.21743,1.2169,1.21703,139,5,0
291,1673280720,1.21704,1.21715,1.21656,1.21678,129,5,0
292,1673280780,1.21678,1.21689,1.2165300000000001,1.21661,94,5,0
293,1673280840,1.2166,1.21681,1.2165,1.21676,113,5,0
294,1673280900,1.21678,1.21678,1.21606,1.21639,155,5,0
295,1673280960,1.21639,1.21659,1.21633,1.21649,100,5,0
296,1673281020,1.21649,1.21666,1.21628,1.21655,95,5,0
297,1673281080,1.21655,1.21676,1.21645,1.21645,131,5,0
298,1673281140,1.21645,1.21645,1.21613,1.21616,95,5,0
299,1673281200,1.21614,1.21634,1.2161,1.21628,74,5,0
300,1673281260,1.21629,1.2166299999999999,1.21627,1.21637,98,5,0
301,1673281320,1.21639,1.21669,1.21623,1.21662,132,5,0
302,1673281380,1.21662,1.2168700000000001,1.21647,1.21675,141,5,0
303,1673281440,1.21675,1.21679,1.21654,1.21658,121,5,0
304,1673281500,1.21658,1.21662,1.21616,1.2162600000000001,125,5,0
305,1673281560,1.21625,1.21628,1.21608,1.21608,84,5,0
306,1673281620,1.21608,1.21657,1.21607,1.21654,115,5,0
307,1673281680,1.21654,1.21668,1.21635,1.21661,138,5,0
308,1673281740,1.21661,1.21689,1.21639,1.21681,135,5,0
309,1673281800,1.21681,1.21692,1.21611,1.21633,234,5,0
310,1673281860,1.21633,1.21704,1.21615,1.21699,229,5,0
311,1673281920,1.21701,1.21718,1.21664,1.2171,255,5,0
312,1673281980,1.2171,1.21719,1.21648,1.21666,186,5,0
313,1673282040,1.21662,1.21694,1.21629,1.2168700000000001,150,5,0
314,1673282100,1.2168700000000001,1.21721,1.21666,1.2167,174,5,0
315,1673282160,1.21668,1.21684,1.21657,1.21677,174,5,0
316,1673282220,1.21676,1.217,1.21661,1.21661,144,5,0
317,1673282280,1.21659,1.21709,1.21658,1.21686,160,5,0
318,1673282340,1.2168700000000001,1.21707,1.2167,1.2169,150,5,0
319,1673282400,1.2169,1.21763,1.21685,1.21729,171,5,0
320,1673282460,1.2173,1.21759,1.21717,1.21727,129,5,0
321,1673282520,1.21718,1.21733,1.21659,1.21664,148,5,0
322,1673282580,1.21664,1.21665,1.21609,1.21618,133,5,0
323,1673282640,1.21615,1.21658,1.21607,1.21631,168,5,0
324,1673282700,1.21633,1.21689,1.21633,1.21679,152,5,0
325,1673282760,1.21677,1.21749,1.21677,1.21736,201,5,0
326,1673282820,1.21737,1.21789,1.21732,1.21767,173,5,0
327,1673282880,1.21769,1.21852,1.21765,1.21817,263,3,0
328,1673282940,1.21817,1.21842,1.2179,1.21833,179,5,0
329,1673283000,1.21833,1.21873,1.2183,1.21858,163,5,0
330,1673283060,1.2186,1.21901,1.21852,1.219,187,5,0
331,1673283120,1.21901,1.21963,1.21883,1.21945,175,4,0
332,1673283180,1.21946,1.2195,1.21915,1.21915,185,5,0
333,1673283240,1.21917,1.2193100000000001,1.21891,1.2193,180,5,0
334,1673283300,1.2193,1.2193,1.21882,1.21925,195,4,0
335,1673283360,1.21923,1.2193100000000001,1.219,1.21909,168,5,0
336,1673283420,1.21909,1.21926,1.21899,1.21908,147,5,0
337,1673283480,1.21909,1.21922,1.21878,1.21884,111,5,0
338,1673283540,1.21884,1.21894,1.21868,1.21876,141,5,0
339,1673283600,1.21875,1.21913,1.2187000000000001,1.21902,183,5,0
340,1673283660,1.21902,1.21943,1.21902,1.21936,183,5,0
341,1673283720,1.21934,1.22013,1.21934,1.21978,213,4,0
342,1673283780,1.21976,1.21985,1.21911,1.21929,155,5,0
343,1673283840,1.21929,1.21947,1.21908,1.21922,157,4,0
344,1673283900,1.21922,1.21925,1.2187999999999999,1.21898,140,5,0
345,1673283960,1.21898,1.21939,1.21877,1.21937,140,5,0
346,1673284020,1.21938,1.2196,1.2190699999999999,1.2190699999999999,145,5,0
347,1673284080,1.21908,1.21908,1.21856,1.21865,129,5,0
348,1673284140,1.21861,1.21866,1.21839,1.2186,134,5,0
349,1673284200,1.21861,1.2187000000000001,1.21844,1.21854,134,5,0
350,1673284260,1.21854,1.21856,1.21834,1.21839,121,5,0
351,1673284320,1.21834,1.21837,1.21786,1.21786,108,5,0
352,1673284380,1.21786,1.21786,1.21699,1.21701,187,5,0
353,1673284440,1.21702,1.21773,1.21702,1.21767,158,5,0
354,1673284500,1.21767,1.2181899999999999,1.21763,1.21805,165,5,0
355,1673284560,1.21804,1.21889,1.21794,1.21888,210,5,0
356,1673284620,1.21887,1.21906,1.21853,1.21856,176,5,0
357,1673284680,1.21856,1.21879,1.21838,1.21877,141,5,0
358,1673284740,1.21877,1.21893,1.21875,1.2187999999999999,111,5,0
359,1673284800,1.2187999999999999,1.21911,1.21877,1.21888,138,5,0
360,1673284860,1.21888,1.21889,1.21824,1.21824,127,5,0
361,1673284920,1.21822,1.21837,1.21768,1.21779,140,5,0
362,1673284980,1.2178200000000001,1.21831,1.21778,1.2182,137,5,0
363,1673285040,1.21818,1.21836,1.218,1.21818,160,5,0
364,1673285100,1.2181899999999999,1.2182,1.21766,1.21799,111,5,0
365,1673285160,1.21799,1.21845,1.21797,1.21839,123,5,0
366,1673285220,1.2184,1.21876,1.21837,1.21853,148,5,0
367,1673285280,1.21854,1.2189,1.21853,1.21889,133,5,0
368,1673285340,1.2189,1.21912,1.21883,1.21899,138,5,0
369,1673285400,1.21899,1.21927,1.21871,1.21927,147,5,0
370,1673285460,1.21927,1.2202600000000001,1.2190699999999999,1.21957,216,5,0
371,1673285520,1.21958,1.21994,1.21943,1.21954,167,5,0
372,1673285580,1.21955,1.21987,1.21923,1.21952,198,5,0
373,1673285640,1.21955,1.22001,1.21947,1.22001,162,5,0
374,1673285700,1.22,1.22006,1.2194099999999999,1.2194099999999999,152,5,0
375,1673285760,1.21942,1.21987,1.2194,1.21982,197,5,0
376,1673285820,1.21982,1.22051,1.21939,1.22042,189,5,0
377,1673285880,1.22042,1.22062,1.2203,1.2206,113,5,0
378,1673285940,1.2206,1.22092,1.22042,1.22049,156,5,0
379,1673286000,1.2205,1.2209,1.22023,1.2204,151,5,0
380,1673286060,1.22045,1.22049,1.21994,1.22031,120,5,0
381,1673286120,1.22031,1.22045,1.22024,1.22043,106,5,0
382,1673286180,1.22042,1.22064,1.2203,1.22064,112,5,0
383,1673286240,1.2206299999999999,1.22073,1.22042,1.22056,131,5,0
384,1673286300,1.22056,1.2206299999999999,1.22044,1.22051,101,5,0
385,1673286360,1.2205,1.22094,1.22044,1.22048,162,5,0
386,1673286420,1.22051,1.221,1.22033,1.22062,179,5,0
387,1673286480,1.22062,1.22086,1.22059,1.22062,117,5,0
